fecha,granja,tipo_alimento,origen_alimento,kilos
2015-08-19,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,15020
2015-08-20,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,14860
2015-08-21,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,5835
2015-08-22,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-08-23,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-08-24,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-08-25,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-08-26,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-08-27,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-08-28,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-08-29,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-08-30,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,6065
2015-08-31,Potrerillos 2,Engorda 10,Sanfandila B,330
2015-09-01,Potrerillos 2,Crecimiento,Planta de Alimentos Sanfandila,3450
2015-09-02,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,6670
2015-09-03,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,9370
2015-09-04,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,9550
2015-09-05,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,11580
2015-09-06,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,11175
2015-09-07,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,12060
2015-09-08,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,9065
2015-09-09,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,8945
2015-09-10,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,11165
2015-09-11,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,9230
2015-09-12,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,5760
2015-09-13,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,6545
2015-09-14,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,5940
2015-09-15,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,11975
2015-09-16,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-09-18,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,5805
2015-09-19,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,15020
2015-09-20,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,14860
2015-09-21,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,5835
2015-09-22,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-09-23,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-09-24,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-09-25,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-09-26,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-09-27,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-09-28,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-09-29,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-09-30,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,6065
