sem_edad,dias_edad,sitios,alimento,consumo_alimento,mortalidad,ganancia_diaria,peso,peso_desecho,peso_retrasado,porcentaje_desecho,porcentaje_retrasado,inventario_inicial,inventario_final,inventario_desecho,inventario_retrasado,cantidad_alimento_consumido,cantidad_alimento_acumulado,kg_carne,conversion_alimenticia
14,95,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,48.5 ,,,,,1922.7104287983,1921.3975648491,,,3433.411479997,160057.324359071,93120.5329804127,1.949
14,96,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,49.2 ,,,,,1921.3975648491,1920.0847009,,,3431.0670800877,163488.391439159,94531.5300794069,1.957
14,97,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,50.0 ,,,,,1920.0847009,1918.7718369508,,,3428.7226801785,166917.114119337,95940.5106193751,1.965
15,98,S3,DESARROLLO,2.121 ,0.000656432,0.848,50.8 ,,,,,1918.7718369508,1917.4589730016,,,4070.1220783804,170987.236197718,97500.8713181575,1.977
15,99,S3,DESARROLLO,2.121 ,0.000656432,0.848,51.7 ,,,,,1917.4589730016,1916.1461090524,,,4067.3372154579,175054.573413175,99059.0053996821,1.988
15,100,S3,DESARROLLO,2.121 ,0.000656432,0.848,52.5 ,,,,,1916.1461090524,1914.8332451032,,,4064.5523525354,179119.125765711,100614.912863949,1.999
15,101,S3,DESARROLLO,2.121 ,0.000656432,0.848,53.4 ,,,,,1914.8332451032,1913.5203811541,,,4061.7674896129,183180.893255324,102168.593710958,2.009
15,102,S3,DESARROLLO,2.121 ,0.000656432,0.848,54.2 ,,,,,1913.5203811541,1912.2075172049,,,4058.9826266904,187239.875882014,103720.047940709,2.019
15,103,S3,DESARROLLO,2.121 ,0.000656432,0.848,55.1 ,,,,,1912.2075172049,1910.8946532557,,,4056.1977637679,191296.073645782,105269.275553202,2.029
15,104,S3,DESARROLLO,2.121 ,0.000656432,0.848,55.9 ,,,,,1910.8946532557,1909.5817893065,,,4053.4129008454,195349.486546627,106816.276548438,2.039
16,105,S3,DESARROLLO,2.121 ,0.000656432,0.848,56.8 ,,,,,1909.5817893065,1908.2689253573,,,4050.6280379229,199400.11458455,108361.050926416,2.048
16,106,S3,DESARROLLO,2.121 ,0.000656432,0.848,57.6 ,,,,,1908.2689253573,1906.9560614082,,,4047.8431750004,203447.957759551,109903.598687136,2.057
16,107,S3,DESARROLLO,2.121 ,0.000656432,0.848,58.5 ,,,,,1906.9560614082,1905.643197459,,,4045.0583120779,207493.016071629,111443.919830598,2.066
16,108,S3,DESARROLLO,2.121 ,0.000656432,0.848,59.3 ,,,,,1905.643197459,1904.3303335098,,,4042.2734491554,211535.289520784,112982.014356802,2.074
16,109,S3,DESARROLLO,2.121 ,0.000656432,0.848,60.2 ,,,,,1904.3303335098,1903.0174695606,,,4039.4885862329,215574.778107017,114517.882265749,2.082
16,110,S3,DESARROLLO,2.121 ,0.000656432,0.848,61.0 ,,,,,1903.0174695606,1901.7046056114,,,4036.7037233104,219611.481830327,116051.523557437,2.091
16,111,S3,DESARROLLO,2.121 ,0.000656432,0.848,61.9 ,,,,,1901.7046056114,1900.3917416623,,,4033.9188603879,223645.400690715,117582.938231868,2.098
17,112,S3,DESARROLLO,2.121 ,0.000656432,0.848,62.7 ,,,,,1900.3917416623,1899.0788777131,,,4031.1339974654,227676.53468818,119112.126289041,2.106
17,113,S3,DESARROLLO,2.121 ,0.000656432,0.848,63.6 ,,,,,1899.0788777131,1897.7660137639,,,4028.3491345429,231704.883822723,120639.087728957,2.113
17,114,S3,DESARROLLO,2.121 ,0.000656432,0.848,64.4 ,,,,,1897.7660137639,1896.4531498147,,,4025.5642716204,235730.448094344,122163.822551614,2.121
17,115,S3,DESARROLLO,2.121 ,0.000656432,0.848,65.3 ,,,,,1896.4531498147,1895.1402858655,,,4022.7794086979,239753.227503042,123686.330757014,2.128
17,116,S3,DESARROLLO,2.121 ,0.000656432,0.848,66.1 ,,,,,1895.1402858655,1893.8274219164,,,4019.9945457754,243773.222048817,125206.612345156,2.134
17,117,S3,DESARROLLO,2.121 ,0.000656432,0.848,67.0 ,,,,,1893.8274219164,1892.5145579672,,,4017.2096828529,247790.43173167,126724.66731604,2.141
17,118,S3,DESARROLLO,2.121 ,0.000656432,0.848,67.8 ,,,,,1892.5145579672,1891.201694018,,,4014.4248199304,251804.8565516,128240.495669666,2.148
18,119,S3,DESARROLLO,2.121 ,0.000656432,0.848,68.7 ,,,,,1891.201694018,1889.8888300688,,,4011.6399570079,255816.496508608,129754.097406035,2.154
18,120,S3,DESARROLLO,2.121 ,0.000656432,0.848,69.5 ,,,,,1889.8888300688,1888.5759661196,,,4008.8550940854,259825.351602693,131265.472525145,2.160
18,121,S3,DESARROLLO,2.121 ,0.000656432,0.848,70.4 ,,,,,1888.5759661196,1887.2631021705,,,4006.0702311629,263831.421833856,132774.621026998,2.167
18,122,S3,DESARROLLO,2.121 ,0.000656432,0.848,71.2 ,,,,,1887.2631021705,1885.9502382213,,,4003.2853682404,267834.707202097,134281.542911593,2.173
18,123,S3,DESARROLLO,2.121 ,0.000656432,0.848,72.0 ,,,,,1885.9502382213,1884.6373742721,,,4000.5005053179,271835.207707415,135786.23817893,2.178
18,124,S3,DESARROLLO,2.121 ,0.000656432,0.848,72.9 ,,,,,1884.6373742721,1883.3245103229,,,3997.7156423954,275832.92334981,137288.70682901,2.184
18,125,S3,DESARROLLO,2.121 ,0.000656432,0.848,73.7 ,,,,,1883.3245103229,1882.0116463737,,,3994.9307794729,279827.854129283,138788.948861831,2.190
19,126,S3,DESARROLLO,2.121 ,0.000656432,0.848,74.6 ,,,,,1882.0116463737,1880.6987824246,,,3992.1459165504,283820.000045833,140286.964277395,2.195
19,127,S3,DESARROLLO,2.121 ,0.000656432,0.848,75.4 ,,,,,1880.6987824246,1879.3859184754,,,3989.3610536279,287809.361099461,141782.753075701,2.201
19,128,S3,DESARROLLO,2.121 ,0.000656432,0.848,76.3 ,,,,,1879.3859184754,1878.0730545262,,,3986.5761907054,291795.937290166,143276.315256749,2.206
19,129,S3,DESARROLLO,2.121 ,0.000656432,0.848,77.1 ,,,,,1878.0730545262,1876.760190577,,,3983.7913277829,295779.728617949,144767.65082054,2.211
19,130,S3,DESARROLLO,2.121 ,0.000656432,0.848,78.0 ,,,,,1876.760190577,1875.4473266278,,,3981.0064648604,299760.73508281,146256.759767072,2.216
19,131,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,78.9 ,,,,,1875.4473266278,1874.1344626787,,,5001.1928710076,304761.927953817,147902.943525675,2.226
19,132,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,79.9 ,,,,,1874.1344626787,1872.8215987295,,,4997.6919004764,309759.619854294,149546.677480148,2.236
20,133,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,80.8 ,,,,,1872.8215987295,1871.5087347803,,,4994.1909299453,314753.810784239,151187.961630492,2.245
20,134,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,81.7 ,,,,,1871.5087347803,1870.1958708311,,,4990.6899594141,319744.500743653,152826.795976707,2.254
20,135,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,82.7 ,,,,,1870.1958708311,1868.883006882,,,4987.188988883,324731.689732536,154463.180518793,2.264
20,136,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,83.6 ,,,,,1868.883006882,1867.5701429328,,,4983.6880183519,329715.377750888,156097.115256749,2.272
20,137,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,84.5 ,,,,,1867.5701429328,1866.2572789836,,,4980.1870478207,334695.564798708,157728.600190577,2.281
20,138,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,85.4 ,,,,,1866.2572789836,1864.9444150344,,,4976.6860772896,339672.250875998,159357.635320275,2.290
20,139,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,86.4 ,,,,,1864.9444150344,1863.6315510852,,,4973.1851067584,344645.435982756,160984.220645844,2.298
21,140,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,87.3 ,,,,,1863.6315510852,1862.3186871361,,,4969.6841362273,349615.120118984,162608.356167284,2.306
21,141,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,88.2 ,,,,,1862.3186871361,1861.0058231869,,,4966.1831656961,354581.30328468,164230.041884595,2.314
21,142,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,89.2 ,,,,,1861.0058231869,1859.6929592377,,,4962.682195165,359543.985479845,165849.277797776,2.322
21,143,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,90.1 ,,,,,1859.6929592377,1858.3800952885,,,4959.1812246338,364503.166704479,167466.063906829,2.330
21,144,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,91.0 ,,,,,1858.3800952885,1857.0672313393,,,4955.6802541027,369458.846958581,169080.400211752,2.337
21,145,S3,FINALIZADOR RACT 5,2.667 ,0.000656432,0.933,92.0 ,,,,,1857.0672313393,1855.7543673902,,,4952.1792835715,374411.026242153,170692.286712546,2.345
21,146,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,93.1 ,,,,,1855.7543673902,1854.441503441,,,6185.8478913005,380596.874133453,172579.889634727,2.355
22,147,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,94.1 ,,,,,1854.441503441,1853.1286394918,,,6181.4716781366,386778.34581159,174464.648893594,2.366
22,148,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,95.2 ,,,,,1853.1286394918,1851.8157755426,,,6177.0954649726,392955.441276563,176346.564489147,2.377
22,149,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,96.3 ,,,,,1851.8157755426,1850.5029115934,,,6172.7192518087,399128.160528371,178225.636421387,2.387
22,150,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,97.4 ,,,,,1850.5029115934,1849.1900476443,,,6168.3430386448,405296.503567016,180101.864690312,2.397
22,151,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,98.5 ,,,,,1849.1900476443,1847.8771836951,,,6163.9668254808,411460.470392497,181975.249295923,2.407
22,152,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,99.6 ,,,,,1847.8771836951,1846.5643197459,,,6159.5906123169,417620.061004814,183845.790238221,2.416
22,153,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,100.6 ,,,,,1846.5643197459,1845.2514557967,,,6155.214399153,423775.275403967,185713.487517204,2.426
23,154,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,101.7 ,,,,,1845.2514557967,1843.9385918475,,,6150.838185989,429926.113589956,187578.341132874,2.435
23,155,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,102.8 ,,,,,1843.9385918475,1842.6257278984,,,6146.4619728251,436072.575562781,189440.35108523,2.444
23,156,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,103.9 ,,,,,1842.6257278984,1841.3128639492,,,6142.0857596612,442214.661322442,191299.517374272,2.453
23,157,S3,FINALIZADOR RACT 10,3.333 ,0.000656432,1.083,105.0 ,20.00 ,75.00 ,,,1841.3128639492,1840,0 ,0 ,6137.7095464973,448352.370868939,193155.839999999,2.461
